Loading raw signal from data/raw/Ninapro_DB1/s1/S1_A1_E2.mat...
Preprocessing signal (Filtering & Standardizing)...
Extracting 200ms sliding windows...
Extracting dense windows (size=20, stride=1)...
Extracting FFT Frequencies...
Extracting FFT magnitudes...
Loading Trained Models (Dictionary, Scaler, SVM)...
Extracting Sparse Dictionary Codes...
Classifying movements...

[EVALUATION RESULTS]
Overall Accuracy:       75.82%
Active Blocks Accuracy: 51.99%

=====================================================================================
 sEMG TRUE vs PREDICTED TIMELINE LOG
=====================================================================================
[000.00s - 004.13s] ✅ TRUE: Rest                         | PRED: Rest
[1275.31s - 1279.42s] ✅ TRUE: Rest                         | PRED: Rest
[1279.56s - 1279.81s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist flexion
[1279.81s - 1280.21s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist pronation (axis: little finger)
[1280.21s - 1280.47s] ❌ TRUE: Wrist ulnar deviation        | PRED: Ring grasp
[1280.47s - 1281.75s] ❌ TRUE: Wrist ulnar deviation        | PRED: Turn a screw
[1281.80s - 1282.21s] ❌ TRUE: Wrist ulnar deviation        | PRED: Large diameter grasp
[1282.21s - 1282.49s] ✅ TRUE: Wrist ulnar deviation        | PRED: Wrist ulnar deviation
[1282.49s - 1282.86s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist extension with closed hand
[1282.86s - 1283.16s] ❌ TRUE: Wrist ulnar deviation        | PRED: Extension of index and middle, flexion of others
[1283.21s - 1283.49s] ❌ TRUE: Rest                         | PRED: Fingers flexed together in fist
[1283.49s - 1283.73s] ❌ TRUE: Rest                         | PRED: Pointing index
[1283.81s - 1287.79s] ✅ TRUE: Rest                         | PRED: Rest
[1287.80s - 1288.03s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[1288.03s - 1288.58s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist pronation (axis: middle finger)
[1288.71s - 1289.26s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist flexion
[1289.40s - 1290.27s] ❌ TRUE: Wrist ulnar deviation        | PRED: Turn a screw
[1290.51s - 1291.05s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist extension with closed hand
[1291.14s - 1291.37s] ❌ TRUE: Wrist ulnar deviation        | PRED: Thumb flexion
[1291.48s - 1291.76s] ❌ TRUE: Rest                         | PRED: Cut something
[1291.79s - 1292.10s] ❌ TRUE: Rest                         | PRED: Pointing index
[1292.10s - 1296.37s] ✅ TRUE: Rest                         | PRED: Rest
[1296.42s - 1296.81s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist extension with closed hand
[1296.94s - 1297.44s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist pronation (axis: little finger)
[1297.44s - 1297.80s] ❌ TRUE: Wrist ulnar deviation        | PRED: Precision sphere grasp
[1297.80s - 1298.35s] ❌ TRUE: Wrist ulnar deviation        | PRED: Turn a screw
[1298.35s - 1298.71s] ❌ TRUE: Wrist ulnar deviation        | PRED: Large diameter grasp
[1298.99s - 1299.25s] ❌ TRUE: Wrist ulnar deviation        | PRED: Thumb adduction
[1299.96s - 1300.35s] ❌ TRUE: Rest                         | PRED: Pointing index
[1300.51s - 1304.79s] ✅ TRUE: Rest                         | PRED: Rest
[1304.92s - 1305.35s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist extension with closed hand
[1305.35s - 1305.96s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist flexion
[1305.96s - 1306.70s] ❌ TRUE: Wrist ulnar deviation        | PRED: Turn a screw
[1306.70s - 1307.08s] ❌ TRUE: Wrist ulnar deviation        | PRED: Precision sphere grasp
[1307.08s - 1307.53s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist extension with closed hand
[1307.65s - 1307.85s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: little finger)
[1307.85s - 1308.26s] ❌ TRUE: Rest                         | PRED: Pointing index
[1308.26s - 1308.47s] ❌ TRUE: Rest                         | PRED: Wrist radial deviation
[1308.47s - 1313.12s] ✅ TRUE: Rest                         | PRED: Rest
[1313.14s - 1313.73s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist extension with closed hand
[1313.75s - 1314.22s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist flexion
[1314.50s - 1315.44s] ✅ TRUE: Wrist ulnar deviation        | PRED: Wrist ulnar deviation
[1315.61s - 1316.49s] ❌ TRUE: Wrist ulnar deviation        | PRED: Thumb flexion
[1316.69s - 1316.89s] ❌ TRUE: Wrist ulnar deviation        | PRED: Tip pinch grasp
[1317.15s - 1321.51s] ✅ TRUE: Rest                         | PRED: Rest
[1321.54s - 1321.77s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist extension with closed hand
[1321.77s - 1322.13s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist pronation (axis: little finger)
[1322.13s - 1322.72s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist flexion
[1322.76s - 1323.26s] ❌ TRUE: Wrist ulnar deviation        | PRED: Turn a screw
[1323.46s - 1323.67s] ❌ TRUE: Wrist ulnar deviation        | PRED: Large diameter grasp
[1323.71s - 1324.08s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist flexion
[1324.08s - 1324.38s] ❌ TRUE: Wrist ulnar deviation        | PRED: Thumb adduction
[1324.42s - 1324.63s] ❌ TRUE: Rest                         | PRED: Thumb flexion
[1324.63s - 1324.86s] ❌ TRUE: Rest                         | PRED: Wrist extension with closed hand
[1324.86s - 1325.09s] ❌ TRUE: Rest                         | PRED: Cut something
[1325.30s - 1325.65s] ❌ TRUE: Rest                         | PRED: Pointing index
[1325.65s - 1329.83s] ✅ TRUE: Rest                         | PRED: Rest
[1329.98s - 1330.26s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist extension with closed hand
[1330.26s - 1330.79s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist pronation (axis: little finger)
[1330.82s - 1331.38s] ❌ TRUE: Wrist ulnar deviation        | PRED: Open a bottle with a tripod grasp
[1331.38s - 1331.69s] ❌ TRUE: Wrist ulnar deviation        | PRED: Turn a screw
[1331.69s - 1332.12s] ❌ TRUE: Wrist ulnar deviation        | PRED: Large diameter grasp
[1332.12s - 1332.38s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist pronation (axis: little finger)
[1332.38s - 1332.60s] ❌ TRUE: Wrist ulnar deviation        | PRED: Thumb adduction
[1332.60s - 1332.83s] ❌ TRUE: Wrist ulnar deviation        | PRED: Thumb flexion
[1333.10s - 1333.35s] ❌ TRUE: Rest                         | PRED: Extension of index and middle, flexion of others
[1333.84s - 1334.10s] ❌ TRUE: Rest                         | PRED: Pointing index
[1334.10s - 1334.34s] ✅ TRUE: Rest                         | PRED: Rest
[1334.44s - 1335.07s] ✅ TRUE: Rest                         | PRED: Rest
[1335.07s - 1335.49s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1335.49s - 1335.99s] ✅ TRUE: Rest                         | PRED: Rest
[1335.99s - 1336.44s] ❌ TRUE: Rest                         | PRED: Tip pinch grasp
[1336.44s - 1337.25s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1337.35s - 1337.84s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: middle finger)
[1337.94s - 1338.40s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist pronation (axis: middle finger)
[1338.40s - 1338.78s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist flexion
[1339.06s - 1340.34s] ❌ TRUE: Wrist ulnar deviation        | PRED: Open a bottle with a tripod grasp
[1340.34s - 1340.89s] ❌ TRUE: Wrist ulnar deviation        | PRED: Wrist extension with closed hand
[1340.89s - 1341.57s] ❌ TRUE: Wrist ulnar deviation        | PRED: Thumb flexion
[1341.85s - 1342.11s] ❌ TRUE: Wrist ulnar deviation        | PRED: Little finger extension
[1342.26s - 1346.44s] ✅ TRUE: Rest                         | PRED: Rest
[1346.70s - 1347.23s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist pronation (axis: little finger)
[1347.23s - 1347.50s] ❌ TRUE: Wrist extension with closed hand | PRED: Parallel extension grasp
[1347.50s - 1349.13s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1349.13s - 1349.41s] ❌ TRUE: Wrist extension with closed hand | PRED: Parallel extension grasp
[1349.41s - 1350.46s] ❌ TRUE: Wrist extension with closed hand | PRED: Lateral grasp
[1350.47s - 1350.72s] ❌ TRUE: Wrist extension with closed hand | PRED: Lateral grasp
[1350.78s - 1351.01s] ❌ TRUE: Wrist extension with closed hand | PRED: Middle flexion
[1351.01s - 1351.21s] ❌ TRUE: Rest                         | PRED: Middle flexion
[1351.21s - 1354.77s] ✅ TRUE: Rest                         | PRED: Rest
[1354.96s - 1356.17s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1356.20s - 1356.49s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1356.63s - 1357.46s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1357.46s - 1357.84s] ❌ TRUE: Wrist extension with closed hand | PRED: Thumb abduction
[1357.84s - 1358.36s] ❌ TRUE: Wrist extension with closed hand | PRED: Rest
[1358.36s - 1358.75s] ❌ TRUE: Wrist extension with closed hand | PRED: Middle flexion
[1359.45s - 1363.00s] ✅ TRUE: Rest                         | PRED: Rest
[1363.01s - 1363.45s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist pronation (axis: middle finger)
[1363.56s - 1363.88s] ❌ TRUE: Wrist extension with closed hand | PRED: Little finger flexion
[1363.88s - 1365.56s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1365.56s - 1365.96s] ❌ TRUE: Wrist extension with closed hand | PRED: Lateral grasp
[1366.15s - 1366.72s] ❌ TRUE: Wrist extension with closed hand | PRED: Thumb abduction
[1366.72s - 1367.06s] ❌ TRUE: Wrist extension with closed hand | PRED: Thumb up
[1367.56s - 1367.81s] ❌ TRUE: Rest                         | PRED: Wrist pronation (axis: little finger)
[1367.81s - 1369.33s] ❌ TRUE: Rest                         | PRED: Pointing index
[1369.33s - 1370.84s] ✅ TRUE: Rest                         | PRED: Rest
[1370.84s - 1371.17s] ❌ TRUE: Rest                         | PRED: Thumb abduction
[1371.55s - 1371.94s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1372.15s - 1374.46s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1374.55s - 1374.95s] ❌ TRUE: Wrist extension with closed hand | PRED: Rest
[1374.95s - 1375.40s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist pronation (axis: middle finger)
[1375.40s - 1375.68s] ❌ TRUE: Wrist extension with closed hand | PRED: Pointing index
[1375.68s - 1375.94s] ❌ TRUE: Rest                         | PRED: Pointing index
[1375.94s - 1379.99s] ✅ TRUE: Rest                         | PRED: Rest
[1380.19s - 1380.46s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist supination (axis: middle finger)
[1380.46s - 1380.70s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist pronation (axis: little finger)
[1380.74s - 1381.92s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1381.92s - 1382.15s] ❌ TRUE: Wrist extension with closed hand | PRED: Cut something
[1382.15s - 1382.83s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1382.83s - 1383.38s] ❌ TRUE: Wrist extension with closed hand | PRED: Thumb abduction
[1383.45s - 1383.77s] ❌ TRUE: Wrist extension with closed hand | PRED: Thumb abduction
[1383.77s - 1384.08s] ❌ TRUE: Wrist extension with closed hand | PRED: Pointing index
[1384.31s - 1388.14s] ✅ TRUE: Rest                         | PRED: Rest
[1388.47s - 1388.70s] ❌ TRUE: Wrist extension with closed hand | PRED: Quadpod grasp
[1388.70s - 1389.04s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist pronation (axis: little finger)
[1389.10s - 1391.33s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1391.35s - 1391.58s] ❌ TRUE: Rest                         | PRED: Middle flexion
[1391.70s - 1392.29s] ❌ TRUE: Rest                         | PRED: Prismatic pinch grasp
[1392.29s - 1392.57s] ❌ TRUE: Rest                         | PRED: Tip pinch grasp
[1392.63s - 1396.78s] ✅ TRUE: Rest                         | PRED: Rest
[1396.78s - 1397.08s] ❌ TRUE: Wrist extension with closed hand | PRED: Ring grasp
[1397.08s - 1397.39s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist flexion
[1397.39s - 1398.52s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1398.71s - 1399.65s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1399.87s - 1400.09s] ❌ TRUE: Wrist extension with closed hand | PRED: Thumb abduction
[1400.15s - 1400.38s] ❌ TRUE: Wrist extension with closed hand | PRED: Lateral grasp
[1400.57s - 1400.99s] ❌ TRUE: Wrist extension with closed hand | PRED: Adduction of extended fingers
[1401.46s - 1405.22s] ✅ TRUE: Rest                         | PRED: Rest
[1405.28s - 1405.49s] ❌ TRUE: Wrist extension with closed hand | PRED: Middle flexion
[1405.49s - 1405.88s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist flexion
[1405.88s - 1407.94s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1408.03s - 1408.69s] ❌ TRUE: Wrist extension with closed hand | PRED: Rest
[1408.84s - 1409.23s] ❌ TRUE: Wrist extension with closed hand | PRED: Thumb adduction
[1409.55s - 1413.43s] ✅ TRUE: Rest                         | PRED: Rest
[1413.46s - 1413.91s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist pronation (axis: middle finger)
[1413.91s - 1414.14s] ❌ TRUE: Wrist extension with closed hand | PRED: Wrist pronation (axis: little finger)
[1414.24s - 1416.40s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1416.40s - 1416.93s] ❌ TRUE: Wrist extension with closed hand | PRED: Lateral grasp
[1416.93s - 1417.63s] ❌ TRUE: Wrist extension with closed hand | PRED: Index flexion
[1417.73s - 1421.99s] ✅ TRUE: Rest                         | PRED: Rest
[1422.09s - 1422.36s] ❌ TRUE: Wrist extension with closed hand | PRED: Ring flexion
[1422.36s - 1422.62s] ❌ TRUE: Wrist extension with closed hand | PRED: Open a bottle with a tripod grasp
[1422.62s - 1424.65s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1424.89s - 1425.45s] ❌ TRUE: Wrist extension with closed hand | PRED: Thumb abduction
[1425.45s - 1425.77s] ❌ TRUE: Wrist extension with closed hand | PRED: Rest
[1425.90s - 1426.10s] ✅ TRUE: Wrist extension with closed hand | PRED: Wrist extension with closed hand
[1426.39s - 1426.61s] ❌ TRUE: Rest                         | PRED: Middle flexion
=====================================================================================

Generating graphical comparison...
Graph saved successfully to 'prediction_comparison_v3.png'
